Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,predicted_price_pca
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846,1.51,low_demand,low_supply,1.325,3.1818181818181817,363.4313761660373
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249,2.58,low_demand,low_supply,0.775,1.0909090909090908,368.42095280554156
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259291,1.65,low_demand,low_supply,1.4,3.090909090909091,437.7147819173848
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.271745,1.37,low_demand,low_supply,1.2,3.1818181818181817,104.55815304530381
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397486,1.41,high_demand,high_supply,1.1481481481481481,1.736842105263158,636.1567100189848
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.3662892,2.72,low_demand,low_supply,1.225,1.6363636363636365,220.23293750128872
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.773619,2.18,low_demand,low_supply,1.8,3.0,473.14670563705073
62,11,Suburban,Gold,37,4.23,Morning,Premium,71,363.345753,5.64,low_demand,low_supply,1.55,1.0,284.9583062066695
39,15,Suburban,Regular,53,4.6,Evening,Premium,38,201.7146763,2.6,low_demand,low_supply,0.975,1.3636363636363635,173.7029874249824
67,56,Urban,Gold,49,4.22,Afternoon,Premium,23,121.439999,1.2,low_demand,high_supply,1.675,1.4736842105263157,119.50433836490083
88,15,Urban,Regular,39,4.51,Afternoon,Economy,137,598.7750233,5.87,high_demand,low_supply,1.0864197530864197,1.3636363636363635,481.6603834454262
29,16,Urban,Silver,75,4.11,Morning,Premium,80,371.1242881,1.81,low_demand,low_supply,0.725,1.4545454545454546,324.21065125495113
100,24,Urban,Silver,88,4.49,Night,Economy,56,173.6669675,4.17,high_demand,low_supply,1.2345679012345678,2.1818181818181817,201.49846699981512
98,43,Suburban,Gold,62,4.98,Morning,Economy,130,538.518528,2.28,high_demand,high_supply,1.2098765432098766,1.131578947368421,453.75459111526663
35,10,Rural,Gold,40,3.54,Night,Economy,75,281.962567,3.5,low_demand,low_supply,0.875,0.9090909090909091,261.9183694068331
58,14,Rural,Gold,10,3.77,Morning,Economy,95,258.0144597,4.14,low_demand,low_supply,1.45,1.2727272727272727,331.4573941837181
22,7,Urban,Gold,53,4.43,Morning,Premium,98,476.2019962,3.14,low_demand,low_supply,0.55,0.6363636363636364,382.10195573383936
84,37,Suburban,Regular,94,3.83,Night,Economy,28,124.6455032,2.27,high_demand,low_supply,1.037037037037037,3.3636363636363638,113.5408019769925
91,14,Suburban,Silver,19,4.78,Night,Premium,19,111.1127149,6.5,high_demand,low_supply,1.123456790123457,1.2727272727272727,106.84024036619923
56,29,Urban,Gold,67,4.49,Afternoon,Economy,125,421.8171879,1.93,low_demand,low_supply,1.4,2.6363636363636362,447.827010465822
97,21,Rural,Regular,36,3.72,Evening,Premium,23,134.0510145,4.62,high_demand,low_supply,1.1975308641975309,1.9090909090909092,125.25392870237377
57,47,Urban,Gold,26,3.8,Morning,Economy,30,132.4032477,1.21,low_demand,high_supply,1.425,1.236842105263158,100.37968121636777
94,27,Suburban,Silver,100,3.6,Night,Premium,172,547.9814624,3.48,high_demand,low_supply,1.1604938271604939,2.4545454545454546,655.6954906927631
84,6,Suburban,Gold,24,3.74,Morning,Economy,68,281.9682458,14.0,high_demand,low_supply,1.037037037037037,0.5454545454545454,231.3085743034226
40,11,Rural,Silver,1,4.24,Night,Premium,35,182.4663214,3.64,low_demand,low_supply,1.0,1.0,163.02176062766674
65,36,Suburban,Silver,20,4.39,Night,Premium,87,313.7742266,1.81,low_demand,low_supply,1.625,3.272727272727273,359.98505374289033
35,22,Urban,Silver,28,4.88,Afternoon,Premium,116,422.886661,1.59,low_demand,low_supply,0.875,2.0,455.8598668236032
40,30,Urban,Regular,67,4.03,Evening,Premium,143,529.6967147,1.33,low_demand,low_supply,1.0,2.727272727272727,554.3807764719828
61,45,Urban,Silver,6,4.99,Evening,Economy,10,25.99344945,1.36,low_demand,high_supply,1.525,1.1842105263157894,28.168282384580777
50,14,Urban,Gold,98,3.52,Night,Premium,109,351.5699575,3.57,low_demand,low_supply,1.25,1.2727272727272727,423.2437584769922
98,25,Suburban,Silver,30,4.76,Afternoon,Economy,60,154.6871597,3.92,high_demand,low_supply,1.2098765432098766,2.272727272727273,217.04068030073614
54,37,Suburban,Regular,41,4.69,Afternoon,Premium,16,106.5920823,1.46,low_demand,low_supply,1.35,3.3636363636363638,111.90700709848176
37,13,Rural,Regular,31,4.66,Afternoon,Economy,35,132.1665679,2.85,low_demand,low_supply,0.925,1.1818181818181819,122.94202085924366
78,41,Urban,Silver,12,4.99,Afternoon,Economy,22,76.22496122,1.9,low_demand,high_supply,1.95,1.0789473684210527,69.29911487442104
84,21,Rural,Gold,88,3.5,Afternoon,Economy,146,598.94004,4.0,high_demand,low_supply,1.037037037037037,1.9090909090909092,519.6550930182647
44,32,Suburban,Silver,51,4.2,Afternoon,Premium,168,563.1508996,1.38,low_demand,low_supply,1.1,2.909090909090909,645.7143664214577
25,11,Urban,Silver,92,3.91,Night,Economy,115,310.1546163,2.27,low_demand,low_supply,0.625,1.0,403.3645556151562
38,13,Urban,Gold,38,4.46,Evening,Premium,28,145.1375686,2.92,low_demand,low_supply,0.95,1.1818181818181819,136.73306559589653
85,25,Urban,Silver,21,4.03,Morning,Economy,73,323.5576858,3.4,high_demand,low_supply,1.0493827160493827,2.272727272727273,262.22915079761367
31,13,Suburban,Gold,87,4.04,Evening,Economy,11,31.56567616,2.38,low_demand,low_supply,0.775,1.1818181818181819,35.94754863726189
67,6,Rural,Regular,25,4.45,Evening,Premium,31,144.4626376,11.17,low_demand,low_supply,1.675,0.5454545454545454,140.15479763318461
77,11,Rural,Silver,70,3.82,Night,Premium,63,252.4930471,7.0,low_demand,low_supply,1.925,1.0,256.9858801959726
32,11,Suburban,Silver,30,3.53,Afternoon,Premium,32,146.5127744,2.91,low_demand,low_supply,0.8,1.0,152.40204991753697
71,30,Rural,Regular,60,4.83,Evening,Premium,156,501.80135,2.37,low_demand,low_supply,1.775,2.727272727272727,597.8736715690485
65,38,Urban,Regular,13,4.77,Morning,Premium,132,610.7325515,1.71,low_demand,low_supply,1.625,3.4545454545454546,518.8554531943266
64,29,Urban,Silver,66,3.79,Night,Premium,37,194.2623994,2.21,low_demand,low_supply,1.6,2.6363636363636362,178.31606915908617
48,38,Urban,Silver,45,4.17,Afternoon,Economy,87,318.210126,1.26,low_demand,low_supply,1.2,3.4545454545454546,321.33717628281084
76,42,Rural,Gold,95,3.93,Morning,Economy,180,512.6251102,1.81,low_demand,high_supply,1.9,1.105263157894737,627.5996587076409
76,53,Urban,Regular,77,3.67,Afternoon,Premium,179,555.8919188,1.43,low_demand,high_supply,1.9,1.394736842105263,667.943545658627
71,14,Suburban,Silver,8,4.44,Night,Economy,76,242.1588608,5.07,low_demand,low_supply,1.775,1.2727272727272727,262.3948627113932
76,9,Urban,Silver,64,4.16,Evening,Economy,10,41.40499128,8.44,low_demand,low_supply,1.9,0.8181818181818182,23.31418571294506
51,14,Rural,Gold,16,3.51,Night,Premium,30,180.8865537,3.64,low_demand,low_supply,1.275,1.2727272727272727,146.128475767518
88,38,Rural,Gold,29,3.73,Evening,Premium,167,537.8971059,2.32,high_demand,low_supply,1.0864197530864197,3.4545454545454546,646.0238988781334
60,24,Rural,Gold,5,3.79,Afternoon,Premium,154,556.6629286,2.5,low_demand,low_supply,1.5,2.1818181818181817,589.75430230958
73,55,Rural,Regular,55,4.2,Afternoon,Economy,52,158.5563431,1.33,low_demand,high_supply,1.825,1.4473684210526316,180.34834408900292
23,10,Urban,Silver,80,3.88,Afternoon,Economy,22,59.4454065,2.3,low_demand,low_supply,0.575,0.9090909090909091,75.07753763038619
74,27,Suburban,Silver,51,3.75,Morning,Premium,111,334.1449975,2.74,low_demand,low_supply,1.85,2.4545454545454546,436.0518939884784
49,6,Suburban,Gold,18,4.41,Night,Premium,148,443.7750198,8.17,low_demand,low_supply,1.225,0.5454545454545454,555.5327038067871
31,8,Rural,Gold,7,3.57,Night,Economy,35,145.2420374,3.88,low_demand,low_supply,0.775,0.7272727272727273,119.9059143947151
57,46,Rural,Regular,42,4.39,Morning,Economy,56,210.6317666,1.24,low_demand,high_supply,1.425,1.2105263157894737,193.53417839973767
64,19,Suburban,Regular,35,4.02,Afternoon,Economy,39,152.2291926,3.37,low_demand,low_supply,1.6,1.7272727272727273,136.6118845509425
86,76,Suburban,Regular,84,4.99,Night,Economy,149,612.4467268,1.13,high_demand,high_supply,1.0617283950617284,2.0,529.3555910463028
54,28,Suburban,Regular,73,3.56,Morning,Premium,51,250.2858824,1.93,low_demand,low_supply,1.35,2.5454545454545454,227.7386753865629
85,37,Rural,Gold,10,3.76,Night,Premium,61,309.0825447,2.3,high_demand,low_supply,1.0493827160493827,3.3636363636363638,273.26194514860913
58,15,Rural,Regular,14,4.76,Night,Premium,12,94.1609177,3.87,low_demand,low_supply,1.45,1.3636363636363635,82.45543198667309
96,27,Rural,Gold,21,4.37,Night,Premium,57,243.9373065,3.56,high_demand,low_supply,1.1851851851851851,2.4545454545454546,251.22214807576353
58,31,Suburban,Silver,32,4.87,Evening,Premium,85,331.1930539,1.87,low_demand,low_supply,1.45,2.8181818181818183,348.57923632007396
77,45,Suburban,Silver,88,4.16,Morning,Economy,151,595.2312212,1.71,low_demand,high_supply,1.925,1.1842105263157894,524.5352842725147
93,73,Rural,Regular,78,3.81,Night,Premium,106,465.9626816,1.27,high_demand,high_supply,1.1481481481481481,1.9210526315789473,420.0026662743519
44,11,Rural,Regular,56,3.83,Afternoon,Premium,18,104.7520101,4.0,low_demand,low_supply,1.1,1.0,102.74218061198258
20,10,Rural,Regular,54,4.12,Morning,Premium,168,784.055126,2.0,low_demand,low_supply,0.5,0.9090909090909091,633.0870638398316
70,40,Suburban,Regular,9,3.77,Evening,Economy,130,382.9299379,1.75,low_demand,high_supply,1.75,1.0526315789473684,449.5948781691302
42,12,Rural,Gold,92,4.5,Afternoon,Economy,123,319.2967131,3.5,low_demand,low_supply,1.05,1.0909090909090908,431.95928058623065
87,33,Rural,Regular,53,4.15,Evening,Economy,143,640.1373391,2.64,high_demand,low_supply,1.0740740740740742,3.0,515.7088143726614
70,43,Suburban,Gold,47,4.31,Morning,Economy,57,243.4933854,1.63,low_demand,high_supply,1.75,1.131578947368421,193.4732981870966
61,15,Urban,Gold,29,4.49,Afternoon,Economy,32,135.0058741,4.07,low_demand,low_supply,1.525,1.3636363636363635,109.03716632537538
71,36,Suburban,Silver,69,4.37,Morning,Economy,110,392.9639433,1.97,low_demand,low_supply,1.775,3.272727272727273,397.30383655963703
81,33,Suburban,Regular,41,4.93,Afternoon,Premium,162,617.2885001,2.45,low_demand,low_supply,2.025,3.0,620.478549065162
87,64,Rural,Silver,69,4.55,Evening,Premium,65,310.7883995,1.36,high_demand,high_supply,1.0740740740740742,1.6842105263157894,272.2459720492496
85,65,Suburban,Regular,73,4.65,Afternoon,Premium,165,770.0708908,1.31,high_demand,high_supply,1.0493827160493827,1.7105263157894737,625.866925318777
91,65,Urban,Regular,40,3.58,Evening,Economy,141,373.5047076,1.4,high_demand,high_supply,1.123456790123457,1.7105263157894737,496.4891915888113
83,57,Rural,Silver,80,4.6,Night,Premium,172,814.4195559,1.46,high_demand,high_supply,1.0246913580246915,1.5,650.0864469346392
64,10,Suburban,Gold,75,3.61,Morning,Premium,155,473.3466933,6.4,low_demand,low_supply,1.6,0.9090909090909091,580.2558599928318
69,22,Rural,Silver,25,4.41,Night,Premium,74,266.7677789,3.14,low_demand,low_supply,1.725,2.0,304.7711885599199
37,12,Rural,Silver,15,3.73,Evening,Economy,142,369.3616589,3.08,low_demand,low_supply,0.925,1.0909090909090908,497.77749455537094
93,28,Urban,Silver,63,3.9,Evening,Economy,38,111.7239412,3.32,high_demand,low_supply,1.1481481481481481,2.5454545454545454,139.7036668493969
66,49,Rural,Gold,42,4.56,Afternoon,Economy,124,429.9483561,1.35,low_demand,high_supply,1.65,1.2894736842105263,433.9542514327744
47,36,Rural,Silver,100,4.2,Morning,Economy,103,414.7783003,1.31,low_demand,low_supply,1.175,3.272727272727273,377.00002503930614
71,30,Rural,Regular,45,4.16,Evening,Premium,53,227.18257,2.37,low_demand,low_supply,1.775,2.727272727272727,234.57857166473553
58,19,Urban,Silver,47,3.97,Evening,Economy,77,247.4420018,3.05,low_demand,low_supply,1.45,1.7272727272727273,269.1925813924577
100,18,Suburban,Silver,50,4.89,Morning,Premium,51,213.8232969,5.56,high_demand,low_supply,1.2345679012345678,1.6363636363636365,221.1099653289723
94,28,Urban,Regular,59,4.45,Night,Economy,173,652.587891,3.36,high_demand,low_supply,1.1604938271604939,2.5454545454545454,617.4483941613005
49,6,Rural,Silver,23,4.65,Night,Premium,69,289.6463054,8.17,low_demand,low_supply,1.225,0.5454545454545454,278.1643030164651
42,7,Rural,Gold,90,3.67,Evening,Economy,32,123.7624693,6.0,low_demand,low_supply,1.05,0.6363636363636364,105.53077996095254
79,63,Urban,Gold,56,4.66,Evening,Premium,70,292.5906289,1.25,low_demand,high_supply,1.975,1.6578947368421053,283.3434031289519
59,5,Rural,Gold,17,4.97,Evening,Premium,143,440.9395108,11.8,low_demand,low_supply,1.475,0.45454545454545453,535.5083231639603
54,7,Urban,Regular,91,3.75,Night,Economy,97,298.3226184,7.71,low_demand,low_supply,1.35,0.6363636363636364,333.22641949657225
60,6,Rural,Silver,65,4.76,Morning,Economy,168,629.2044296,10.0,low_demand,low_supply,1.5,0.5454545454545454,582.8974202656448
26,13,Suburban,Silver,4,3.63,Night,Premium,123,441.9961924,2.0,low_demand,low_supply,0.65,1.1818181818181819,475.39442253923494
90,10,Rural,Silver,59,4.44,Morning,Premium,147,691.5012906,9.0,high_demand,low_supply,1.1111111111111112,0.9090909090909091,555.8488499087076
34,12,Suburban,Silver,38,4.18,Afternoon,Economy,24,106.9485906,2.83,low_demand,low_supply,0.85,1.0909090909090908,82.5342255603565
80,34,Suburban,Silver,84,3.8,Night,Economy,174,561.438522,2.35,low_demand,low_supply,2.0,3.090909090909091,621.3421015243987
21,7,Rural,Regular,58,4.31,Morning,Premium,75,328.4583569,3.0,low_demand,low_supply,0.525,0.6363636363636364,302.765566743942
97,71,Suburban,Silver,52,4.32,Evening,Economy,36,133.3873831,1.37,high_demand,high_supply,1.1975308641975309,1.868421052631579,127.39375477520397
64,7,Suburban,Regular,92,4.58,Evening,Premium,16,114.6992021,9.14,low_demand,low_supply,1.6,0.6363636363636364,87.08388959068708
47,34,Rural,Gold,16,4.38,Evening,Premium,46,237.143389,1.38,low_demand,low_supply,1.175,3.090909090909091,215.89021609598916
44,28,Rural,Gold,30,3.93,Evening,Premium,42,157.1065717,1.57,low_demand,low_supply,1.1,2.5454545454545454,197.8342056786971
21,9,Suburban,Gold,13,4.01,Evening,Economy,127,431.2515977,2.33,low_demand,low_supply,0.525,0.8181818181818182,443.50069725108654
57,37,Urban,Gold,59,3.92,Evening,Economy,159,585.8075882,1.54,low_demand,low_supply,1.425,3.3636363636363638,571.5563338644923
62,5,Rural,Silver,51,4.4,Afternoon,Economy,160,647.2043749,12.4,low_demand,low_supply,1.55,0.45454545454545453,554.8120461893564
25,6,Urban,Gold,60,3.91,Evening,Premium,145,559.5788398,4.17,low_demand,low_supply,0.625,0.5454545454545454,546.0340404920373
92,33,Suburban,Silver,70,3.69,Evening,Premium,46,173.1505323,2.79,high_demand,low_supply,1.1358024691358024,3.0,214.09530674019203
38,7,Rural,Gold,46,3.79,Night,Economy,78,198.1704675,5.43,low_demand,low_supply,0.95,0.6363636363636364,269.94278621714903
99,31,Urban,Silver,0,3.54,Morning,Economy,50,192.7088692,3.19,high_demand,low_supply,1.2222222222222223,2.8181818181818183,184.54521081828574
35,7,Rural,Regular,65,4.19,Night,Economy,65,165.0758242,5.0,low_demand,low_supply,0.875,0.6363636363636364,224.4788482458505
30,13,Urban,Gold,53,3.68,Night,Premium,124,379.4680329,2.31,low_demand,low_supply,0.75,1.1818181818181819,478.02037197020377
28,6,Urban,Gold,53,4.48,Night,Premium,148,461.1095538,4.67,low_demand,low_supply,0.7,0.5454545454545454,557.8718632477721
59,47,Rural,Silver,73,3.54,Night,Economy,75,234.5672446,1.26,low_demand,high_supply,1.475,1.236842105263158,261.4132228423706
24,13,Urban,Silver,50,4.26,Night,Premium,141,540.0620307,1.85,low_demand,low_supply,0.6,1.1818181818181819,538.7593823954267
21,6,Suburban,Regular,15,3.81,Evening,Premium,80,318.8415033,3.5,low_demand,low_supply,0.525,0.5454545454545454,317.6713299554759
84,54,Suburban,Silver,59,4.98,Afternoon,Premium,43,196.3151415,1.56,high_demand,high_supply,1.037037037037037,1.4210526315789473,193.31894692041914
100,50,Urban,Silver,83,4.91,Morning,Premium,173,622.4914304,2.0,high_demand,high_supply,1.2345679012345678,1.3157894736842106,648.4894044056798
30,11,Urban,Silver,99,4.96,Evening,Economy,83,349.6745279,2.73,low_demand,low_supply,0.75,1.0,288.2028519747165
45,35,Rural,Regular,0,4.58,Afternoon,Premium,41,206.1473319,1.29,low_demand,low_supply,1.125,3.1818181818181817,201.08193316408335
53,35,Urban,Gold,35,3.92,Afternoon,Premium,166,635.9330545,1.51,low_demand,low_supply,1.325,3.1818181818181817,639.2789880333773
65,41,Rural,Gold,51,3.57,Night,Premium,48,251.1121418,1.59,low_demand,high_supply,1.625,1.0789473684210527,206.26181634127988
93,6,Rural,Silver,85,4.47,Night,Economy,107,324.0987674,15.5,high_demand,low_supply,1.1481481481481481,0.5454545454545454,370.47972869950155
28,5,Rural,Regular,69,4.49,Morning,Premium,132,425.4887348,5.6,low_demand,low_supply,0.7,0.45454545454545453,501.4596376454797
38,8,Urban,Silver,78,3.57,Night,Economy,114,470.2690237,4.75,low_demand,low_supply,0.95,0.7272727272727273,395.9842860954561
25,6,Urban,Regular,69,4.45,Evening,Premium,94,398.051726,4.17,low_demand,low_supply,0.625,0.5454545454545454,366.15005898601817
76,23,Rural,Regular,64,3.57,Night,Premium,115,564.931725,3.3,low_demand,low_supply,1.9,2.090909090909091,449.1992214232932
22,7,Suburban,Gold,73,4.91,Morning,Premium,73,238.3189915,3.14,low_demand,low_supply,0.55,0.6363636363636364,294.30626538390675
40,5,Rural,Silver,17,4.55,Afternoon,Economy,72,184.9552256,8.0,low_demand,low_supply,1.0,0.45454545454545453,247.27550494318282
89,16,Suburban,Regular,27,4.86,Afternoon,Economy,161,624.305616,5.56,high_demand,low_supply,1.0987654320987654,1.4545454545454546,567.3531113773165
31,21,Suburban,Silver,77,4.83,Afternoon,Economy,107,389.3845083,1.48,low_demand,low_supply,0.775,1.9090909090909092,382.1798859621481
92,45,Rural,Silver,59,4.23,Morning,Premium,121,574.8939389,2.04,high_demand,high_supply,1.1358024691358024,1.1842105263157894,466.20244812229527
58,32,Urban,Gold,92,4.59,Afternoon,Premium,111,517.944462,1.81,low_demand,low_supply,1.45,2.909090909090909,442.4702373395668
58,20,Rural,Silver,42,3.51,Evening,Economy,125,527.1792012,2.9,low_demand,low_supply,1.45,1.8181818181818181,440.87601529073004
36,7,Suburban,Regular,26,4.35,Morning,Economy,59,201.4968308,5.14,low_demand,low_supply,0.9,0.6363636363636364,200.99753574723263
66,40,Rural,Regular,93,4.86,Evening,Economy,153,627.016751,1.65,low_demand,high_supply,1.65,1.0526315789473684,532.5128958952129
76,54,Urban,Regular,58,4.05,Evening,Economy,74,218.6251779,1.41,low_demand,high_supply,1.9,1.4210526315789473,253.84370439779116
55,23,Urban,Gold,46,4.58,Afternoon,Premium,150,654.6765363,2.39,low_demand,low_supply,1.375,2.090909090909091,573.912961051861
21,8,Urban,Regular,57,4.78,Night,Premium,84,293.5602166,2.62,low_demand,low_supply,0.525,0.7272727272727273,334.48783410031035
61,45,Rural,Gold,42,4.25,Afternoon,Economy,102,421.985262,1.36,low_demand,high_supply,1.525,1.1842105263157894,356.16847849474414
72,62,Suburban,Regular,48,3.82,Evening,Economy,126,553.7408049,1.16,low_demand,high_supply,1.8,1.631578947368421,439.8296716342734
65,18,Rural,Gold,65,4.01,Morning,Economy,111,330.62431,3.61,low_demand,low_supply,1.625,1.6363636363636365,389.87515697845305
20,8,Rural,Silver,27,4.99,Morning,Economy,83,261.4451503,2.5,low_demand,low_supply,0.5,0.7272727272727273,289.72077429143457
22,7,Suburban,Silver,16,4.1,Night,Economy,147,520.0637873,3.14,low_demand,low_supply,0.55,0.6363636363636364,514.1136401021886
72,49,Suburban,Gold,15,4.34,Night,Premium,19,117.6332781,1.47,low_demand,high_supply,1.8,1.2894736842105263,103.4657970101552
42,30,Urban,Regular,26,4.79,Afternoon,Economy,138,493.0149509,1.4,low_demand,low_supply,1.05,2.727272727272727,496.21710174342303
100,54,Suburban,Regular,91,4.59,Night,Premium,61,203.1132957,1.85,high_demand,high_supply,1.2345679012345678,1.4210526315789473,255.58309868575654
87,32,Suburban,Silver,38,4.76,Afternoon,Economy,114,421.7762985,2.72,high_demand,low_supply,1.0740740740740742,2.909090909090909,413.26916974909227
36,8,Urban,Gold,47,4.07,Afternoon,Economy,77,305.0088859,4.5,low_demand,low_supply,0.9,0.7272727272727273,265.93965149082425
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.7718882,1.84,low_demand,low_supply,1.75,3.4545454545454546,278.5734989669322
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140561,5.86,low_demand,low_supply,1.025,0.6363636363636364,285.5314833939152
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964,1.48,low_demand,high_supply,1.475,1.0526315789473684,549.1739943041391
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060121,2.36,low_demand,low_supply,0.825,1.2727272727272727,445.9079759824723
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071,2.69,low_demand,low_supply,1.75,2.3636363636363638,291.76575110937375
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071068,6.43,low_demand,low_supply,1.125,0.6363636363636364,253.28168780822278
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496,1.38,high_demand,high_supply,1.2098765432098766,1.868421052631579,491.3566379648282
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425623,1.19,low_demand,high_supply,1.875,1.6578947368421053,523.7071673080105
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486717,2.94,high_demand,low_supply,1.2345679012345678,3.090909090909091,563.0974760110826
76,23,Urban,Silver,53,3.94,Evening,Economy,117,480.1043704,3.3,low_demand,low_supply,1.9,2.090909090909091,410.8358769647818
32,12,Urban,Silver,69,3.68,Morning,Economy,55,162.2831045,2.67,low_demand,low_supply,0.8,1.0909090909090908,190.6382987892831
35,23,Suburban,Gold,58,3.78,Afternoon,Economy,164,638.0445145,1.52,low_demand,low_supply,0.875,2.090909090909091,584.1536681429391
30,16,Suburban,Gold,89,3.63,Afternoon,Economy,142,420.111098,1.88,low_demand,low_supply,0.75,1.4545454545454546,502.14570400413777
75,56,Urban,Regular,66,3.69,Evening,Premium,22,124.4906005,1.34,low_demand,high_supply,1.875,1.4736842105263157,113.09483409935208
25,6,Rural,Regular,23,3.95,Morning,Premium,55,235.2781176,4.17,low_demand,low_supply,0.625,0.5454545454545454,230.98165598133312
88,16,Suburban,Gold,26,4.18,Morning,Economy,32,127.3314901,5.5,high_demand,low_supply,1.0864197530864197,1.4545454545454546,111.30279289940887
43,26,Rural,Silver,69,4.9,Evening,Economy,107,391.0269904,1.65,low_demand,low_supply,1.075,2.3636363636363638,383.6680638476243
39,20,Rural,Silver,97,4.25,Morning,Economy,121,319.5430197,1.95,low_demand,low_supply,0.975,1.8181818181818181,429.96192150507386
77,63,Suburban,Gold,72,4.56,Morning,Economy,113,380.2853708,1.22,low_demand,high_supply,1.925,1.6578947368421053,394.2698204640541
41,14,Suburban,Silver,59,4.72,Morning,Premium,49,179.6234225,2.93,low_demand,low_supply,1.025,1.2727272727272727,212.25133821278038
51,20,Rural,Silver,97,4.8,Morning,Economy,130,452.1126401,2.55,low_demand,low_supply,1.275,1.8181818181818181,460.15078702244807
30,10,Suburban,Gold,86,4.95,Evening,Economy,149,565.6691466,3.0,low_demand,low_supply,0.75,0.9090909090909091,520.6539014090537
29,8,Urban,Gold,52,4.68,Afternoon,Premium,121,402.1558776,3.62,low_demand,low_supply,0.725,0.7272727272727273,464.15519076310335
21,5,Rural,Gold,8,4.44,Afternoon,Premium,159,689.84216,4.2,low_demand,low_supply,0.525,0.45454545454545453,598.7132970963817
50,15,Suburban,Regular,62,4.51,Night,Economy,83,307.6469281,3.33,low_demand,low_supply,1.25,1.3636363636363635,290.5294297679866
61,42,Rural,Gold,11,3.72,Night,Economy,52,186.5262771,1.45,low_demand,high_supply,1.525,1.105263157894737,178.98380820731361
67,5,Suburban,Silver,81,4.53,Morning,Premium,14,91.06777716,13.4,low_demand,low_supply,1.675,0.45454545454545453,78.92712949007529
73,22,Suburban,Regular,26,4.99,Night,Economy,33,143.8549861,3.32,low_demand,low_supply,1.825,2.0,116.25048789334662
35,18,Urban,Gold,27,3.82,Morning,Economy,158,553.8373591,1.94,low_demand,low_supply,0.875,1.6363636363636365,557.8808615417887
96,58,Urban,Silver,25,3.61,Morning,Economy,85,336.5684837,1.66,high_demand,high_supply,1.1851851851851851,1.5263157894736843,297.9168277923933
38,28,Urban,Gold,8,4.83,Morning,Economy,29,95.02020686,1.36,low_demand,low_supply,0.95,2.5454545454545454,109.71853493749961
75,28,Urban,Gold,6,4.02,Evening,Premium,171,575.0117219,2.68,low_demand,low_supply,1.875,2.5454545454545454,647.1586889669827
57,26,Suburban,Silver,92,4.11,Afternoon,Premium,58,264.6757476,2.19,low_demand,low_supply,1.425,2.3636363636363638,251.7080234055616
36,10,Rural,Gold,65,3.54,Night,Economy,53,185.6179239,3.6,low_demand,low_supply,0.9,0.9090909090909091,184.19174390069395
73,27,Rural,Gold,98,3.97,Evening,Economy,57,251.1556503,2.7,low_demand,low_supply,1.825,2.4545454545454546,204.14552036387533
68,29,Rural,Gold,51,3.99,Evening,Economy,110,299.6890563,2.34,low_demand,low_supply,1.7,2.6363636363636362,393.17727986039154
25,9,Rural,Gold,11,3.58,Night,Economy,31,92.65681121,2.78,low_demand,low_supply,0.625,0.8181818181818182,107.29776749491009
97,25,Urban,Regular,95,4.91,Night,Premium,101,332.2293764,3.88,high_demand,low_supply,1.1975308641975309,2.272727272727273,403.248584001645
30,7,Rural,Regular,85,3.74,Evening,Economy,44,184.1120897,4.29,low_demand,low_supply,0.75,0.6363636363636364,149.41178918135094
83,7,Suburban,Gold,24,4.9,Morning,Premium,24,124.5817745,11.86,high_demand,low_supply,1.0246913580246915,0.6363636363636364,119.0154941880059
27,5,Rural,Gold,2,4.3,Evening,Economy,22,60.98181722,5.4,low_demand,low_supply,0.675,0.45454545454545453,70.75818435408928
58,21,Suburban,Gold,72,4.14,Afternoon,Economy,10,35.88598786,2.76,low_demand,low_supply,1.45,1.9090909090909092,36.54803275700988
32,15,Urban,Gold,67,3.76,Evening,Premium,23,132.1230188,2.13,low_demand,low_supply,0.8,1.3636363636363635,121.32049921656113
76,8,Urban,Gold,40,4.68,Afternoon,Economy,157,561.5796822,9.5,low_demand,low_supply,1.9,0.7272727272727273,542.9260478291491
21,9,Suburban,Regular,38,4.54,Morning,Economy,179,546.3787899,2.33,low_demand,low_supply,0.525,0.8181818181818182,627.6436057870826
